Name,Description,Category,Type,Requirements,Numerical_Values,ID,Notes
"The fortunate one","Have 100 chancemakers","Building","Normal","Own 100 chancemakers",100,285,"Building achievement"
"Fortune #001","Have 150 chancemakers","Building","Normal","Own 150 chancemakers",150,286,"Building achievement"
"As luck would have it","Have 200 chancemakers","Building","Normal","Own 200 chancemakers",200,287,"Building achievement"
"Make your own fate","Have 250 chancemakers","Building","Normal","Own 250 chancemakers",250,288,"Building achievement"
"Unprecedented luck","Have 300 chancemakers","Building","Normal","Own 300 chancemakers",300,289,"Building achievement"
"A stroke of genius","Have 350 chancemakers","Building","Normal","Own 350 chancemakers",350,290,"Building achievement"
"Million to one shot doc","Have 400 chancemakers","Building","Normal","Own 400 chancemakers",400,291,"Building achievement"
"Two out of three ain't bad","Have 450 chancemakers","Building","Normal","Own 450 chancemakers",450,292,"Building achievement"
"Lucifer","Have 500 chancemakers","Building","Normal","Own 500 chancemakers",500,293,"Building achievement"
"What are the odds","Have 550 chancemakers","Building","Normal","Own 550 chancemakers",550,294,"Building achievement"
"Minuscule odds","Have 600 chancemakers","Building","Normal","Own 600 chancemakers",600,295,"Building achievement"
"The needs of the many","Have 1 fractal engine","Building","Normal","Own 1 fractal engine",1,296,"Building achievement"
"Eating its own","Have 10 fractal engines","Building","Normal","Own 10 fractal engines",10,297,"Building achievement"
"We must go deeper","Have 25 fractal engines","Building","Normal","Own 25 fractal engines",25,298,"Building achievement"
"Sierpinski rhomboids","Have 50 fractal engines","Building","Normal","Own 50 fractal engines",50,299,"Building achievement"
"Live from the Mandelbrotworld","Have 100 fractal engines","Building","Normal","Own 100 fractal engines",100,300,"Building achievement"
"The mouth of madness","Have 150 fractal engines","Building","Normal","Own 150 fractal engines",150,301,"Building achievement"
"set z=cookie.where(f''); self.clicks += 1; return 'click'","Have 200 fractal engines","Building","Normal","Own 200 fractal engines",200,302,"Building achievement"
"Everything is perforated","Have 250 fractal engines","Building","Normal","Own 250 fractal engines",250,303,"Building achievement"
"Mandala a better world","Have 300 fractal engines","Building","Normal","Own 300 fractal engines",300,304,"Building achievement"
"The dreams in which I'm baking","Have 350 fractal engines","Building","Normal","Own 350 fractal engines",350,305,"Building achievement"
"Large-scale structure formation","Have 400 fractal engines","Building","Normal","Own 400 fractal engines",400,306,"Building achievement"
"Zoom","Have 450 fractal engines","Building","Normal","Own 450 fractal engines",450,307,"Building achievement"
"Enhanced","Have 500 fractal engines","Building","Normal","Own 500 fractal engines",500,308,"Building achievement"
"Nonconvex","Have 550 fractal engines","Building","Normal","Own 550 fractal engines",550,309,"Building achievement"
"A_VERY_GOOD_infinite_game","Have 600 fractal engines","Building","Normal","Own 600 fractal engines",600,310,"Building achievement"
"Inherited prototype","Have 1 javascript console","Building","Normal","Own 1 javascript console",1,311,"Building achievement"
"A model of document object","Have 10 javascript consoles","Building","Normal","Own 10 javascript consoles",10,312,"Building achievement"
"First-class citizen","Have 25 javascript consoles","Building","Normal","Own 25 javascript consoles",25,313,"Building achievement"
"Null pointer","Have 50 javascript consoles","Building","Normal","Own 50 javascript consoles",50,314,"Building achievement"
"undefined is not a function","Have 100 javascript consoles","Building","Normal","Own 100 javascript consoles",100,315,"Building achievement"
"404 cookies not found","Have 150 javascript consoles","Building","Normal","Own 150 javascript consoles",150,316,"Building achievement"
"[object Object]","Have 200 javascript consoles","Building","Normal","Own 200 javascript consoles",200,317,"Building achievement"
"Script kiddie","Have 250 javascript consoles","Building","Normal","Own 250 javascript consoles",250,318,"Building achievement"
"Son of a batch","Have 300 javascript consoles","Building","Normal","Own 300 javascript consoles",300,319,"Building achievement"
"CAPTCHA","Have 350 javascript consoles","Building","Normal","Own 350 javascript consoles",350,320,"Building achievement"
"eval(eval(eval(document.cookie)))","Have 400 javascript consoles","Building","Normal","Own 400 javascript consoles",400,321,"Building achievement"
"Bootstring paradox","Have 450 javascript consoles","Building","Normal","Own 450 javascript consoles",450,322,"Building achievement"
"The javascript consoles are breeding","Have 500 javascript consoles","Building","Normal","Own 500 javascript consoles",500,323,"Building achievement"
"You broke the website logins","Have 550 javascript consoles","Building","Normal","Own 550 javascript consoles",550,324,"Building achievement"
"For vr = cr? f() : l(c('g','s')); typeof(vr) != 'undefined'; return vr","Have 600 javascript consoles","Building","Normal","Own 600 javascript consoles",600,325,"Building achievement"
"Fringe","Have 1 idleverse","Building","Normal","Own 1 idleverse",1,326,"Building achievement"
"Coherence","Have 10 idleverses","Building","Normal","Own 10 idleverses",10,327,"Building achievement"
"Earth-616","Have 25 idleverses","Building","Normal","Own 25 idleverses",25,328,"Building achievement"
"Strange topologies","Have 50 idleverses","Building","Normal","Own 50 idleverses",50,329,"Building achievement"
"Grand design","Have 100 idleverses","Building","Normal","Own 100 idleverses",100,330,"Building achievement"
"A universe within","Have 150 idleverses","Building","Normal","Own 150 idleverses",150,331,"Building achievement"
"The game never ends","Have 200 idleverses","Building","Normal","Own 200 idleverses",200,332,"Building achievement"
"Dimensional garbage","Have 250 idleverses","Building","Normal","Own 250 idleverses",250,333,"Building achievement"
"Alternate reality","Have 300 idleverses","Building","Normal","Own 300 idleverses",300,334,"Building achievement"
"And I thought WE were ambitious...","Have 350 idleverses","Building","Normal","Own 350 idleverses",350,335,"Building achievement"
"Episode 2","Have 400 idleverses","Building","Normal","Own 400 idleverses",400,336,"Building achievement"
"Where is my mind","Have 450 idleverses","Building","Normal","Own 450 idleverses",450,337,"Building achievement"
"Sitting on the dock of the bay","Have 500 idleverses","Building","Normal","Own 500 idleverses",500,338,"Building achievement"
"This isn't even my final form!","Have 550 idleverses","Building","Normal","Own 550 idleverses",550,339,"Building achievement"
"What does it all mean","Have 600 idleverses","Building","Normal","Own 600 idleverses",600,340,"Building achievement"
"Positive thinking","Have 1 cortex baker","Building","Normal","Own 1 cortex baker",1,341,"Building achievement"
"The thought that counts","Have 10 cortex bakers","Building","Normal","Own 10 cortex bakers",10,342,"Building achievement"
"Unthinkable","Have 25 cortex bakers","Building","Normal","Own 25 cortex bakers",25,343,"Building achievement"
"Gifted","Have 50 cortex bakers","Building","Normal","Own 50 cortex bakers",50,344,"Building achievement"
"Bright","Have 100 cortex bakers","Building","Normal","Own 100 cortex bakers",100,345,"Building achievement"
"Smart cookies","Have 150 cortex bakers","Building","Normal","Own 150 cortex bakers",150,346,"Building achievement"
"Intelligent design","Have 200 cortex bakers","Building","Normal","Own 200 cortex bakers",200,347,"Building achievement"
"Mindfulness","Have 250 cortex bakers","Building","Normal","Own 250 cortex bakers",250,348,"Building achievement"
"Consciousness","Have 300 cortex bakers","Building","Normal","Own 300 cortex bakers",300,349,"Building achievement"
"A novel idea","Have 350 cortex bakers","Building","Normal","Own 350 cortex bakers",350,350,"Building achievement"
"Nervous about thinking","Have 400 cortex bakers","Building","Normal","Own 400 cortex bakers",400,351,"Building achievement"
"Neural networks","Have 450 cortex bakers","Building","Normal","Own 450 cortex bakers",450,352,"Building achievement"
"A brain full of cookies","Have 500 cortex bakers","Building","Normal","Own 500 cortex bakers",500,353,"Building achievement"
"A thinking machine","Have 550 cortex bakers","Building","Normal","Own 550 cortex bakers",550,354,"Building achievement"
"Cognitive bias","Have 600 cortex bakers","Building","Normal","Own 600 cortex bakers",600,355,"Building achievement"
"Self-made","Have 1 you","Building","Normal","Own 1 you",1,356,"Building achievement"
"Reproducible results","Have 10 yous","Building","Normal","Own 10 yous",10,357,"Building achievement"
"That's all you","Have 25 yous","Building","Normal","Own 25 yous",25,358,"Building achievement"
"Self-improvement","Have 50 yous","Building","Normal","Own 50 yous",50,359,"Building achievement"
"Be yourself","Have 100 yous","Building","Normal","Own 100 yous",100,360,"Building achievement"
"Know yourself","Have 150 yous","Building","Normal","Own 150 yous",150,361,"Building achievement"
"Accept yourself","Have 200 yous","Building","Normal","Own 200 yous",200,362,"Building achievement"
"Love yourself","Have 250 yous","Building","Normal","Own 250 yous",250,363,"Building achievement"
"Unnatural selection","Have 300 yous","Building","Normal","Own 300 yous",300,364,"Building achievement"
"Autoerotic","Have 350 yous","Building","Normal","Own 350 yous",350,365,"Building achievement"
"Yes homo","Have 400 yous","Building","Normal","Own 400 yous",400,366,"Building achievement"
"Perfect ratio","Have 450 yous","Building","Normal","Own 450 yous",450,367,"Building achievement"
"Devour yourself","Have 500 yous","Building","Normal","Own 500 yous",500,368,"Building achievement"
"Now the serpent was more crafty","Have 550 yous","Building","Normal","Own 550 yous",550,369,"Building achievement"
"Ouroboros","Have 600 yous","Building","Normal","Own 600 yous",600,370,"Building achievement"
"Builder","Own 100 buildings","Milestone","Normal","Own 100 buildings total",100,371,"Total buildings milestone"
"Architect","Own 500 buildings","Milestone","Normal","Own 500 buildings total",500,372,"Total buildings milestone"
"Engineer","Own 1,000 buildings","Milestone","Normal","Own 1,000 buildings total",1000,373,"Total buildings milestone"
"Lord of Constructs","Own 2,000 buildings","Milestone","Normal","Own 2,000 buildings total",2000,374,"Total buildings milestone"
"Grand design","Own 4,000 buildings","Milestone","Normal","Own 4,000 buildings total",4000,375,"Total buildings milestone"
"Ecumenopolis","Own 6,000 buildings","Milestone","Normal","Own 6,000 buildings total",6000,376,"Total buildings milestone"
"Myriad","Own 8,000 buildings","Milestone","Normal","Own 8,000 buildings total",8000,377,"Total buildings milestone"
"Centennial and a half","Own 10,000 buildings","Milestone","Normal","Own 10,000 buildings total",10000,378,"Total buildings milestone"
"Wholesome","Own 12,000 buildings","Milestone","Normal","Own 12,000 buildings total",12000,379,"Total buildings milestone"
"Mathematician","Own 14,000 buildings","Milestone","Normal","Own 14,000 buildings total",14000,380,"Total buildings milestone"
"One with everything","Own 15,000 buildings","Milestone","Normal","Own 15,000 buildings total",15000,381,"Total buildings milestone"
"Golden cookie","Click 1 golden cookie","Golden Cookie","Normal","Click 1 golden cookie",1,382,"Golden cookie achievement"
"Lucky cookie","Click 7 golden cookies","Golden Cookie","Normal","Click 7 golden cookies",7,383,"Golden cookie achievement"
"A stroke of luck","Click 27 golden cookies","Golden Cookie","Normal","Click 27 golden cookies",27,384,"Golden cookie achievement"
"Fortune","Click 77 golden cookies","Golden Cookie","Normal","Click 77 golden cookies",77,385,"Golden cookie achievement"
"Leprechaun","Click 777 golden cookies","Golden Cookie","Normal","Click 777 golden cookies",777,386,"Golden cookie achievement"
"Black cat's paw","Click 7,777 golden cookies","Golden Cookie","Normal","Click 7,777 golden cookies",7777,387,"Golden cookie achievement"
"Jackpot","Click 77,777 golden cookies","Golden Cookie","Normal","Click 77,777 golden cookies",77777,388,"Golden cookie achievement"
"Early bird","Click a golden cookie less than 1 second after it spawns","Golden Cookie","Normal","Click golden cookie within 1 second of spawn",1,389,"Golden cookie timing"
"Fading luck","Click a golden cookie less than 1 second before it disappears","Golden Cookie","Normal","Click golden cookie within 1 second before fade",1,390,"Golden cookie timing"
"Click delegator","Use 1,000 cursors to click the golden cookie for you","Golden Cookie","Normal","Click golden cookie while having 1,000 cursors",1000,391,"Golden cookie with cursors"
"Grandmapocalypse","Enter the Grandmapocalypse","Grandmapocalypse","Normal","Purchase One Mind upgrade",1,392,"Grandmapocalypse achievement"
"Wrath cookie","Click a wrath cookie","Grandmapocalypse","Normal","Click a wrath cookie during Grandmapocalypse",1,393,"Grandmapocalypse achievement"
"Elder slayer","Pop 10 wrinklers","Grandmapocalypse","Normal","Pop 10 wrinklers",10,394,"Wrinkler achievement"
"Elder legend","Pop 100 wrinklers","Grandmapocalypse","Normal","Pop 100 wrinklers",100,395,"Wrinkler achievement"
"Elder god","Pop 1,000 wrinklers","Grandmapocalypse","Normal","Pop 1,000 wrinklers",1000,396,"Wrinkler achievement"
"Wrinkler poker","Pop 200 wrinklers in one ascension","Grandmapocalypse","Normal","Pop 200 wrinklers in single ascension",200,397,"Wrinkler achievement"
"Itchscratcher","Pop 50 wrinklers","Grandmapocalypse","Normal","Pop 50 wrinklers",50,398,"Wrinkler achievement"
"Wrinklesquisher","Pop 500 wrinklers","Grandmapocalypse","Normal","Pop 500 wrinklers",500,399,"Wrinkler achievement"
"Sugar rush","Harvest 1 sugar lump","Sugar Lump","Normal","Harvest 1 sugar lump",1,400,"Sugar lump achievement"
"Sweet","Harvest 10 sugar lumps","Sugar Lump","Normal","Harvest 10 sugar lumps",10,401,"Sugar lump achievement"
"My lumps","Harvest 50 sugar lumps","Sugar Lump","Normal","Harvest 50 sugar lumps",50,402,"Sugar lump achievement"
"Sugar high","Harvest 100 sugar lumps","Sugar Lump","Normal","Harvest 100 sugar lumps",100,403,"Sugar lump achievement"
"Sweetmeats","Harvest 250 sugar lumps","Sugar Lump","Normal","Harvest 250 sugar lumps",250,404,"Sugar lump achievement"
"Candied","Harvest 1,000 sugar lumps","Sugar Lump","Normal","Harvest 1,000 sugar lumps",1000,405,"Sugar lump achievement"
"Split the lump","Harvest a bifurcated sugar lump","Sugar Lump","Special","Harvest bifurcated lump",1,406,"Special sugar lump"
"Maillard reaction","Harvest a caramelized sugar lump","Sugar Lump","Special","Harvest caramelized lump",1,407,"Special sugar lump"
"Reincarnation","Ascend once","Ascension","Normal","Ascend once",1,408,"Ascension achievement"
"Transcendence","Ascend 10 times","Ascension","Normal","Ascend 10 times",10,409,"Ascension achievement"
"Rebirth","Ascend 100 times","Ascension","Normal","Ascend 100 times",100,410,"Ascension achievement"
"Afterlife","Ascend 1,000 times","Ascension","Normal","Ascend 1,000 times",1000,411,"Ascension achievement"
"Reborn again","Ascend 10,000 times","Ascension","Normal","Ascend 10,000 times",10000,412,"Ascension achievement"
"Resurrection","Ascend 1 million times","Ascension","Normal","Ascend 1 million times",1000000,413,"Ascension achievement"
"To crumbs, you say?","Ascend with 1 duodecillion cookies baked","Ascension","Normal","Ascend with 1 duodecillion cookies baked",1000000000000000000000000000000000000000,414,"Ascension with high cookies"
"Lovely cookies","Unlock every Valentine-themed cookie","Season","Valentine","Buy all 7 valentine cookies",7,415,"Valentine achievement"
"Spooky cookies","Unlock every Halloween-themed cookie","Season","Halloween","Buy all 7 halloween cookies",7,416,"Halloween achievement"
"Let it snow","Unlock every Christmas-themed cookie","Season","Christmas","Buy all reindeer cookies",13,417,"Christmas achievement"
"Coming to town","Reach Santa's 7th form","Season","Christmas","Upgrade Santa to level 7",7,418,"Christmas Santa"
"All hail Santa","Reach Santa's final form","Season","Christmas","Upgrade Santa to final level",15,419,"Christmas Santa final"
"Oh deer","Pop 1 reindeer","Season","Christmas","Click 1 reindeer",1,420,"Christmas reindeer"
"Sleigh of hand","Pop 50 reindeer","Season","Christmas","Click 50 reindeer",50,421,"Christmas reindeer"
"Reindeer sleigher","Pop 200 reindeer","Season","Christmas","Click 200 reindeer",200,422,"Christmas reindeer"
"Eldeer","Pop a reindeer during elder frenzy","Season","Christmas","Click reindeer during elder frenzy",1,423,"Special Christmas achievement"
"Ho ho ho","Pop 2,020 reindeer","Season","Christmas","Click 2,020 reindeer",2020,424,"Christmas reindeer milestone"
"Eggstra","Unlock 1 egg","Season","Easter","Unlock 1 easter egg",1,425,"Easter achievement"
"Eggcellent","Unlock 7 eggs","Season","Easter","Unlock 7 easter eggs",7,426,"Easter achievement"
"Mass Easteria","Unlock 14 eggs","Season","Easter","Unlock 14 easter eggs",14,427,"Easter achievement"
"Hide & seek champion","Unlock all the eggs","Season","Easter","Unlock all 20 easter eggs",20,428,"Easter complete"
"Plain milk","Unlock plain milk","Miscellaneous","Normal","Earn first achievement",1,429,"Milk achievement"
"Chocolate milk","Unlock chocolate milk","Miscellaneous","Normal","Earn enough achievements for chocolate milk",10,430,"Milk achievement"
"Strawberry milk","Unlock strawberry milk","Miscellaneous","Normal","Earn enough achievements for strawberry milk",25,431,"Milk achievement"
"Banana milk","Unlock banana milk","Miscellaneous","Normal","Earn enough achievements for banana milk",50,432,"Milk achievement"
"Coconut milk","Unlock coconut milk","Miscellaneous","Normal","Earn enough achievements for coconut milk",100,433,"Milk achievement"
"Soy milk","Unlock soy milk","Miscellaneous","Normal","Earn enough achievements for soy milk",150,434,"Milk achievement"
"Caramel milk","Unlock caramel milk","Miscellaneous","Normal","Earn enough achievements for caramel milk",200,435,"Milk achievement"
"Raspberry milk","Unlock raspberry milk","Miscellaneous","Normal","Earn enough achievements for raspberry milk",250,436,"Milk achievement"
"Orange milk","Unlock orange milk","Miscellaneous","Normal","Earn enough achievements for orange milk",300,437,"Milk achievement"
"Blueberry milk","Unlock blueberry milk","Miscellaneous","Normal","Earn enough achievements for blueberry milk",350,438,"Milk achievement"
"Honey milk","Unlock honey milk","Miscellaneous","Normal","Earn enough achievements for honey milk",400,439,"Milk achievement"
"Cinnamon milk","Unlock cinnamon milk","Miscellaneous","Normal","Earn enough achievements for cinnamon milk",450,440,"Milk achievement"
"Mint milk","Unlock mint milk","Miscellaneous","Normal","Earn enough achievements for mint milk",500,441,"Milk achievement"
"Blackberry milk","Unlock blackberry milk","Miscellaneous","Normal","Earn enough achievements for blackberry milk",550,442,"Milk achievement"
"Tiny cookie","Click the tiny cookie","Miscellaneous","Normal","Click the tiny cookie on stats screen",1,443,"Hidden click achievement"
"Here you go","Give 1 cookie to research facility","Miscellaneous","Normal","Donate to research facility",1,444,"Donation achievement"
"All natural","Harvest 1,000 plants from the garden","Miscellaneous","Normal","Harvest 1,000 garden plants",1000,445,"Garden achievement"
"Fickle cicadas","Have Shimmers appear 8 times in a row","Miscellaneous","Normal","Get 8 shimmers in a row",8,446,"Shimmer achievement"
"Seven horseshoes","Click 27,777 golden cookies","Golden Cookie","Shadow","Click 27,777 golden cookies",27777,447,"Shadow achievement - extensive clicking"
"Four-leaf cookie","Have 4 golden cookies simultaneously","Golden Cookie","Shadow","Have 4 golden cookies on screen at once",4,448,"Shadow achievement - very difficult"
"True Neverclick","Make 1 million cookies without ever clicking the big cookie","Shadow","Shadow","Reach 1 million cookies without clicking big cookie",1000000,449,"Shadow achievement - requires golden cookies only"
"Neverclick","Make 1 million cookies having only clicked the big cookie 15 times","Shadow","Shadow","Reach 1 million cookies with max 15 big cookie clicks",15,450,"Shadow achievement - limited clicking"
"Hardcore","Get to 1 billion cookies baked with no heavenly chips","Shadow","Shadow","Reach 1 billion cookies with 0 heavenly chips",1000000000,451,"Shadow achievement - fresh start only"
"Speed baking I","Get to 1 million cookies baked in 35 minutes","Shadow","Shadow","Reach 1 million cookies in 35 minutes",1000000,452,"Shadow achievement - speed challenge"
"Speed baking II","Get to 1 million cookies baked in 25 minutes","Shadow","Shadow","Reach 1 million cookies in 25 minutes",1000000,453,"Shadow achievement - speed challenge"
"Speed baking III","Get to 1 million cookies baked in 15 minutes","Shadow","Shadow","Reach 1 million cookies in 15 minutes",1000000,454,"Shadow achievement - speed challenge"
"Getting over it","Ascend with 1 million cookies baked","Shadow","Shadow","Ascend having baked 1 million cookies",1000000,455,"Shadow achievement - early ascension"
"Sacrifice","Reset your game with 1 million cookies baked","Shadow","Shadow","Reset with 1 million cookies baked",1000000,456,"Shadow achievement - cascading"
"Oblivion","Reset your game with 1 billion cookies baked","Shadow","Shadow","Reset with 1 billion cookies baked",1000000000,457,"Shadow achievement - cascading"
"From scratch","Reset your game with 1 trillion cookies baked","Shadow","Shadow","Reset with 1 trillion cookies baked",1000000000000,458,"Shadow achievement - cascading"
"Nihilism","Reset your game with 1 quadrillion cookies baked","Shadow","Shadow","Reset with 1 quadrillion cookies baked",1000000000000000,459,"Shadow achievement - cascading"
"Uncanny clicker","Click really really fast","Shadow","Shadow","Achieve 15+ clicks per second",15,460,"Shadow achievement - clicking speed"
"Elder nap","Appease the grandmatriarchs at least once","Shadow","Shadow","Use Elder Pledge at least once",1,461,"Shadow achievement - Grandmapocalypse"
"Elder slumber","Appease the grandmatriarchs at least 5 times","Shadow","Shadow","Use Elder Pledge 5 times",5,462,"Shadow achievement - Grandmapocalypse"
"Elder calm","Declare a covenant with the grandmatriarchs","Shadow","Shadow","Purchase Elder Covenant",1,463,"Shadow achievement - Grandmapocalypse"
"Just plain lucky","Have a 1 in 500,000 chance every second of earning this","Shadow","Shadow","Random chance achievement",500000,464,"Shadow achievement - pure luck"
"Dunk the cookie","Dunk the cookie in milk","Shadow","Shadow","Resize window so cookie is submerged in milk when clicked",1,465,"Shadow achievement - screen manipulation"
"Cookie-dunker","Dunk the cookie","Shadow","Shadow","Dunk the cookie in milk",1,466,"Shadow achievement - same as above"
"Cheated cookies taste awful","Cheat or use console","Shadow","Shadow","Open browser console or cheat",1,467,"Shadow achievement - opens when console accessed"
"All-natural cane sugar","Harvest a golden sugar lump","Shadow","Sugar Lump","Harvest golden sugar lump",1,468,"Shadow achievement - rare sugar lump"
"Endless cycle","Ascend 1,000 times","Shadow","Ascension","Ascend 1,000 times",1000,469,"Shadow achievement - many ascensions"
"Third-party","Use an add-on","Shadow","External","Use external addon",1,470,"Shadow achievement - addon usage"
"Last chance to see","Burst the near-extinct shiny wrinkler","Shadow","Wrinkler","Pop shiny wrinkler",1,471,"Shadow achievement - rare wrinkler"
"Gaseous assets","Have your stock profits surpass a whole year of CpS","Stock Market","Special","Stock profits exceed yearly CpS",1,472,"Stock market achievement"
"Pyramid scheme","Unlock 100 upgrades","Upgrade","Normal","Buy 100 upgrades",100,473,"Upgrade milestone"
"Jellybeans taste the rainbow","Unlock 200 upgrades","Upgrade","Normal","Buy 200 upgrades",200,474,"Upgrade milestone"
"Upgrader","Unlock 300 upgrades","Upgrade","Normal","Buy 300 upgrades",300,475,"Upgrade milestone"
"End of the line","Unlock 400 upgrades","Upgrade","Normal","Buy 400 upgrades",400,476,"Upgrade milestone"
"Bicentennial","Unlock 500 upgrades","Upgrade","Normal","Buy 500 upgrades",500,477,"Upgrade milestone"
"Sexcentennial","Unlock 600 upgrades","Upgrade","Normal","Buy 600 upgrades",600,478,"Upgrade milestone"
"Septcentennial","Unlock 700 upgrades","Upgrade","Normal","Buy 700 upgrades",700,479,"Upgrade milestone"
"Octocentennial","Unlock 800 upgrades","Upgrade","Normal","Buy 800 upgrades",800,480,"Upgrade milestone"
"No time like the present","Redeem a cookie gift code","Gift","Special","Use gift code system",1,481,"Special achievement"
"Prancing deer","Click a reindeer","Seasonal","Christmas","Click a reindeer during Christmas",1,482,"Christmas achievement"
"Stocking stuffer","Click 50 reindeer","Seasonal","Christmas","Click 50 reindeer during Christmas",50,483,"Christmas achievement"
"Dashing through the dough","Click 200 reindeer","Seasonal","Christmas","Click 200 reindeer during Christmas",200,484,"Christmas achievement"
"Seasonal sweetener","Own 1,000 seasonal cookies","Seasonal","Normal","Own 1,000 seasonal cookies",1000,485,"Seasonal achievement"
"A festive frenzy","Collect 200 seasonal cookies","Seasonal","Normal","Collect 200 seasonal cookies",200,486,"Seasonal achievement"
"Hardcore baking","Bake 1 million cookies in one ascension without purchasing any upgrades","Hardcore","Shadow","Bake 1 million without upgrades",1000000,487,"Shadow achievement - no upgrades challenge"
"Base 10","Have 10 of everything","Everything","Normal","Have 10 of all buildings",10,488,"Milestone achievement"
"Centennial","Have at least 100 of everything","Milestone","Normal","At least 100 of each building",100,489,"Building milestone"
"Bicentennial","Have at least 200 of everything","Milestone","Normal","At least 200 of each building",200,490,"Building milestone"
"Tricentennial","Have at least 300 of everything","Milestone","Normal","At least 300 of each building",300,491,"Building milestone"
"Quadricentennial","Have at least 400 of everything","Milestone","Normal","At least 400 of each building",400,492,"Building milestone"
"Quincentennial","Have at least 500 of everything","Milestone","Normal","At least 500 of each building",500,493,"Building milestone"
"Sexcentennial","Have at least 600 of everything","Milestone","Normal","At least 600 of each building",600,494,"Building milestone"
"Septcentennial","Have at least 700 of everything","Milestone","Normal","At least 700 of each building",700,495,"Building milestone"
"A need for seed","Harvest 100 plants in the garden","Garden","Normal","Harvest 100 garden plants",100,496,"Garden achievement"
"Garden variety","Harvest 500 plants in the garden","Garden","Normal","Harvest 500 garden plants",500,497,"Garden achievement"
"Seedling","Plant your first seed in the garden","Garden","Normal","Plant first seed",1,498,"Garden achievement"
"Green fingers","Harvest 10 mature plants in one harvest","Garden","Normal","Harvest 10 mature plants at once",10,499,"Garden achievement"
"Seedless to nay","Plant 100 plants in the garden","Garden","Normal","Plant 100 seeds",100,500,"Garden achievement"
"Tabloid addiction","Click 50 news ticker items","News","Normal","Click 50 news ticker updates",50,501,"News achievement"
"Clickbait","Click 200 news ticker items","News","Normal","Click 200 news ticker updates",200,502,"News achievement"
"Fake news","Click 500 news ticker items","News","Normal","Click 500 news ticker updates",500,503,"News achievement"
"World-famous","Have your bakery get featured in the news 50 times","News","Normal","50 news ticker mentions",50,504,"News achievement"
"Tabloid sensation","Have your bakery get featured in the news 100 times","News","Normal","100 news ticker mentions",100,505,"News achievement"
"Nil zero zilch","Get 1 trillion cookies from wrinklers","Wrinkler","Normal","Gain 1 trillion from wrinklers",1000000000000,506,"Wrinkler production"
"Spiderwebs","Get 1 quadrillion cookies from wrinklers","Wrinkler","Normal","Gain 1 quadrillion from wrinklers",1000000000000000,507,"Wrinkler production"
"Dusty","Get 1 quintillion cookies from wrinklers","Wrinkler","Normal","Gain 1 quintillion from wrinklers",1000000000000000000,508,"Wrinkler production"
"Cobwebs","Get 1 sextillion cookies from wrinklers","Wrinkler","Normal","Gain 1 sextillion from wrinklers",1000000000000000000000,509,"Wrinkler production"
"Cookie crumbs","Have spent over 1 day worth of sugar lumps upgrading buildings","Sugar Lump","Normal","Spend 24+ sugar lumps on building upgrades",24,510,"Sugar lump spending"
"Wholesome and sweet","Upgrade all buildings to at least level 1","Building Upgrade","Normal","All buildings level 1+",1,511,"Building upgrade milestone"
"Sweet setup","Upgrade all buildings to at least level 5","Building Upgrade","Normal","All buildings level 5+",5,512,"Building upgrade milestone"
"Sweetness and light","Upgrade all buildings to at least level 10","Building Upgrade","Normal","All buildings level 10+",10,513,"Building upgrade milestone"
"Keeper of the conservatory","Unlock all garden plants","Garden","Normal","Unlock all plant species",1,514,"Garden completion"
"Perfected agriculture","Have a complete garden of mature plants","Garden","Normal","Fill garden with mature plants",1,515,"Garden completion"
"Polymath","Have 1 of every grandma type","Grandma","Normal","Own 1 of each grandma type",1,516,"Grandma variety"
"Exotic tastes","Have 1,000 of every grandma type","Grandma","Normal","1,000 of each grandma type",1000,517,"Grandma milestone"
"One mind","Unlock the One Mind upgrade","Grandmapocalypse","Normal","Buy One Mind upgrade",1,518,"Grandmapocalypse start"
"You get nothing","Have a golden cookie spawn with less than 1 second left on a buff","Golden Cookie","Shadow","Golden cookie spawns with <1s buff remaining",1,519,"Shadow achievement - unlucky timing"
"What did we even eat before these","Have a golden cookie spawn during Click frenzy with building special activated","Golden Cookie","Shadow","Golden cookie during Click frenzy + building special",1,520,"Shadow achievement - complex buff timing"
"F12","Open the console","Debug","Shadow","Open browser developer console",1,521,"Shadow achievement - console access"
"Variable success","Modify a game variable using the console","Debug","Shadow","Change game variable via console",1,522,"Shadow achievement - console modification"
"No comments","Finish a speedrun","Speedrun","Shadow","Complete a challenge speedrun",1,523,"Shadow achievement - speedrun completion"
"Heavy flow","Get a cookie storm with a sugar frenzy active","Sugar","Shadow","Cookie storm during sugar frenzy",1,524,"Shadow achievement - rare combo"
"Olden Golden","Click 10 golden cookies in one ascension","Golden Cookie","Shadow","Click 10 golden cookies in one ascension",10,525,"Shadow achievement - single ascension goal"
"Caramelized","Harvest 10 caramelized sugar lumps","Sugar Lump","Shadow","Harvest 10 caramelized lumps",10,526,"Shadow achievement - special lumps"
"Layered upon layers","Ascend 1,000 times","Ascension","Normal","Ascend 1,000 times",1000,527,"High ascension count"
"When the cookies ascend just right","Ascend with exactly 1 trillion cookies","Ascension","Shadow","Ascend with exactly 1 trillion cookies",1000000000000,528,"Shadow achievement - precise number"
"You get nothing good day sir","Have 10 buildings costing 1 duodecillion each","Building Cost","Normal","10 buildings at 1 duodecillion each",10,529,"High cost milestone"
